airline,from,to,route,price,duration_in_min,stops,class_category,day,month,dep_hour,arr_hour
AirAsia,Mumbai,Hyderabad,Mumbai-Chennai,7670.7542182959405,118.92523263880611,0,Economy,20,8,7,22
GoAir,Delhi,Kolkata,Mumbai-Kolkata,4731.213350209633,104.05636345922355,1,Economy,19,5,11,1
AirAsia,Delhi,Kolkata,Delhi-Bangalore,4496.060491888764,72.96421723903633,2,Business,15,7,8,0
SpiceJet,Delhi,Mumbai,Mumbai-Kolkata,7496.772140297426,130.4012993281476,0,Economy,22,9,5,11
IndiGo,Delhi,Mumbai,Delhi-Mumbai,6311.691341896723,195.3466965475327,1,Business,4,5,17,15
IndiGo,Mumbai,Hyderabad,Delhi-Mumbai,5305.365814498907,64.79766766482742,1,Economy,30,11,1,21
IndiGo,Delhi,Kolkata,Delhi-Hyderabad,6427.703268897948,119.03158166851588,2,Economy,19,5,22,21
GoAir,Delhi,Bangalore,Delhi-Hyderabad,3891.401808786498,139.21628805224321,2,Business,31,4,7,9
SpiceJet,Mumbai,Mumbai,Mumbai-Chennai,6002.700405277728,123.69234604968544,1,Economy,31,6,23,17
GoAir,Delhi,Hyderabad,Mumbai-Kolkata,6262.256938274468,116.60615842452779,0,Economy,9,2,13,14
GoAir,Delhi,Kolkata,Delhi-Mumbai,6739.416111630264,81.02350909662528,1,Economy,21,3,5,16
SpiceJet,Mumbai,Kolkata,Delhi-Hyderabad,5188.8832381659695,126.9836022882049,0,Economy,13,1,9,9
SpiceJet,Delhi,Bangalore,Mumbai-Kolkata,6068.5497291226875,97.2970806895222,1,Economy,14,2,7,2
SpiceJet,Delhi,Hyderabad,Delhi-Hyderabad,5259.6602991523305,60.0,2,Economy,23,2,16,20
SpiceJet,Mumbai,Kolkata,Delhi-Hyderabad,6204.307004539453,155.8377666154119,0,Economy,28,8,11,15
IndiGo,Mumbai,Mumbai,Delhi-Mumbai,5283.722942109581,148.75157459526127,1,Economy,14,8,16,5
Vistara,Delhi,Bangalore,Delhi-Mumbai,5673.519328671823,121.5498293055324,0,Economy,22,2,12,2
Vistara,Delhi,Hyderabad,Delhi-Hyderabad,5203.347684167817,126.87224064617108,0,Business,10,6,18,8
SpiceJet,Mumbai,Bangalore,Delhi-Bangalore,6520.908993458926,152.22954038146685,0,Economy,16,5,11,10
Vistara,Delhi,Mumbai,Delhi-Hyderabad,6686.760893325332,126.73018970334248,1,Economy,31,3,15,20
Vistara,Delhi,Hyderabad,Delhi-Hyderabad,5812.303544034069,147.12052664283942,2,Economy,5,5,4,12
SpiceJet,Mumbai,Bangalore,Mumbai-Chennai,6030.590395968023,111.0755339737845,2,Economy,23,5,15,17
Vistara,Delhi,Chennai,Mumbai-Chennai,4841.126868293165,159.3595121572184,0,Economy,27,5,5,21
GoAir,Mumbai,Mumbai,Mumbai-Chennai,5760.258681594571,129.62357177798052,1,Economy,6,3,10,23
AirAsia,Delhi,Mumbai,Delhi-Bangalore,5959.836306366604,125.82155830817622,1,Business,26,3,16,21
AirAsia,Mumbai,Mumbai,Delhi-Bangalore,8096.63447282398,81.89816733863904,0,Business,2,4,22,3
SpiceJet,Delhi,Chennai,Delhi-Hyderabad,5110.4263793806695,128.60867562905125,0,Economy,13,7,13,21
IndiGo,Delhi,Chennai,Mumbai-Chennai,7171.34179100195,95.04135247516646,0,Business,29,12,5,23
SpiceJet,Delhi,Kolkata,Delhi-Bangalore,6797.4870187726465,100.85151820414518,2,Economy,13,12,22,7
IndiGo,Delhi,Bangalore,Delhi-Mumbai,6224.509123592109,95.53873115051636,1,Economy,19,12,10,12
AirAsia,Mumbai,Kolkata,Delhi-Hyderabad,7406.896387356107,88.01295204302325,1,Business,18,2,11,9
SpiceJet,Mumbai,Bangalore,Mumbai-Kolkata,6297.684378085491,183.74314209050885,0,Economy,28,10,12,1
GoAir,Delhi,Chennai,Delhi-Hyderabad,6311.327356534343,159.94017185965208,1,Economy,19,4,3,7
Vistara,Delhi,Chennai,Mumbai-Kolkata,5957.503477585964,177.61102506432783,0,Economy,1,4,6,5
IndiGo,Delhi,Kolkata,Mumbai-Chennai,6978.855105934902,83.31314941333308,0,Economy,8,1,1,15
Vistara,Mumbai,Hyderabad,Mumbai-Kolkata,6877.175387048707,122.13761249732677,1,Economy,22,10,5,17
Vistara,Mumbai,Kolkata,Mumbai-Chennai,5499.45817000303,81.19477124387713,0,Economy,16,8,5,16
SpiceJet,Delhi,Bangalore,Delhi-Mumbai,4944.602244320986,99.12915368408808,1,Business,29,1,17,5
Vistara,Mumbai,Kolkata,Mumbai-Kolkata,5837.6154900834745,92.45619049750276,0,Economy,2,8,19,12
GoAir,Delhi,Mumbai,Delhi-Hyderabad,5359.969148481883,157.18752019324685,1,Economy,8,7,7,22
Vistara,Mumbai,Bangalore,Mumbai-Chennai,5949.180340307716,108.1131096569472,0,Economy,6,9,7,13
SpiceJet,Mumbai,Bangalore,Delhi-Hyderabad,6989.950507747311,152.05138001082048,0,Economy,16,8,7,20
GoAir,Mumbai,Hyderabad,Delhi-Bangalore,5634.158675930568,138.12362668765553,0,Economy,23,5,7,9
AirAsia,Mumbai,Chennai,Mumbai-Chennai,5965.74129495074,189.10916256314366,0,Economy,11,8,0,23
Vistara,Delhi,Bangalore,Mumbai-Kolkata,6046.418187846716,75.61667330580828,2,Business,17,11,1,10
SpiceJet,Delhi,Chennai,Mumbai-Chennai,6678.744705764228,157.77699719360396,0,Business,23,10,11,12
AirAsia,Delhi,Kolkata,Delhi-Hyderabad,4202.4885328123155,154.39322611202184,1,Economy,19,12,14,11
AirAsia,Delhi,Mumbai,Delhi-Mumbai,5514.639764187763,90.79863485918897,2,Business,11,12,3,8
IndiGo,Delhi,Hyderabad,Mumbai-Chennai,6169.026953823578,150.2140000941948,0,Economy,28,3,2,3
GoAir,Delhi,Chennai,Mumbai-Kolkata,6960.063165141489,130.08434889078686,0,Economy,8,10,13,6
Vistara,Mumbai,Bangalore,Delhi-Bangalore,5606.478041995036,113.17571220139777,1,Economy,22,7,21,23
SpiceJet,Delhi,Chennai,Delhi-Mumbai,4498.757835166501,95.28193539084,2,Economy,4,12,22,21
IndiGo,Mumbai,Bangalore,Delhi-Bangalore,6495.769156772909,98.42671645652442,2,Economy,11,4,7,1
GoAir,Mumbai,Chennai,Mumbai-Chennai,5491.710088939497,181.49436287357778,0,Economy,8,5,12,6
IndiGo,Delhi,Bangalore,Delhi-Hyderabad,5048.266672727711,120.02048456872448,1,Economy,9,9,22,8
GoAir,Mumbai,Kolkata,Delhi-Hyderabad,5500.523688229421,143.46390004594377,0,Business,26,7,18,4
GoAir,Delhi,Bangalore,Mumbai-Kolkata,5852.379713875321,96.2730185499734,2,Economy,2,4,21,14
Vistara,Delhi,Bangalore,Delhi-Hyderabad,5516.20426836943,96.60441161335083,2,Economy,16,6,4,17
GoAir,Delhi,Mumbai,Delhi-Mumbai,4235.547154320745,152.45954427749825,0,Economy,31,10,12,3
IndiGo,Delhi,Bangalore,Delhi-Hyderabad,6717.652957509706,79.51271365345403,0,Economy,6,11,19,18
GoAir,Mumbai,Mumbai,Mumbai-Kolkata,7019.900033022977,107.54358696284186,0,Economy,21,7,0,19
Vistara,Mumbai,Hyderabad,Mumbai-Chennai,6521.217593071605,121.02082233216696,0,Economy,21,10,15,6
Vistara,Delhi,Mumbai,Mumbai-Chennai,5089.851463660147,123.34117805520157,1,Economy,26,9,22,7
IndiGo,Delhi,Kolkata,Delhi-Hyderabad,5838.806772841986,114.62720144951531,0,Economy,27,4,23,16
AirAsia,Mumbai,Mumbai,Delhi-Bangalore,5994.782947816434,131.8745934328777,0,Economy,19,10,1,12
AirAsia,Mumbai,Hyderabad,Mumbai-Chennai,6479.035511649528,140.78567267453434,0,Economy,28,3,6,23
GoAir,Mumbai,Kolkata,Delhi-Hyderabad,6534.672390974465,142.0391263637799,2,Economy,8,8,5,20
SpiceJet,Delhi,Chennai,Mumbai-Kolkata,5412.660960977203,90.4258857399652,1,Economy,14,1,4,22
GoAir,Delhi,Chennai,Delhi-Hyderabad,6065.596445130848,111.47534706213608,0,Economy,24,9,3,10
IndiGo,Delhi,Mumbai,Mumbai-Chennai,6365.824323692193,155.84288585630813,0,Economy,16,1,1,0
IndiGo,Delhi,Mumbai,Mumbai-Kolkata,7164.657857717413,146.83941562721617,2,Economy,12,2,9,1
IndiGo,Delhi,Hyderabad,Delhi-Hyderabad,6563.6052318597785,78.81421645556809,1,Economy,5,8,21,16
IndiGo,Mumbai,Hyderabad,Delhi-Mumbai,6631.245349900415,130.54439701056606,0,Economy,24,9,4,4
IndiGo,Mumbai,Bangalore,Mumbai-Kolkata,6067.061302343489,60.65324251875569,0,Economy,26,7,17,5
Vistara,Mumbai,Hyderabad,Delhi-Mumbai,7128.367316162803,121.40804706181109,0,Economy,31,3,9,23
AirAsia,Delhi,Bangalore,Delhi-Bangalore,6327.810236767598,176.93301050237932,0,Economy,24,7,22,6
IndiGo,Mumbai,Kolkata,Mumbai-Kolkata,5311.129671861144,91.5632184819304,0,Business,19,6,21,20
SpiceJet,Delhi,Mumbai,Delhi-Mumbai,7122.695976100153,94.97030863525254,2,Business,18,2,14,14
SpiceJet,Delhi,Kolkata,Mumbai-Chennai,6558.322618031222,142.9208934471858,0,Economy,9,3,8,18
SpiceJet,Mumbai,Hyderabad,Mumbai-Chennai,5645.564783097214,73.71595454371062,1,Economy,2,11,10,15
SpiceJet,Delhi,Kolkata,Delhi-Bangalore,5616.4056260806055,101.01734910344882,0,Economy,25,12,20,12
Vistara,Delhi,Kolkata,Mumbai-Kolkata,6237.26043611261,137.8932341274526,1,Business,20,10,16,4
SpiceJet,Mumbai,Kolkata,Mumbai-Kolkata,6370.5478362140675,100.9714245693179,1,Business,12,10,20,2
IndiGo,Delhi,Hyderabad,Mumbai-Kolkata,6157.833812504965,112.92090038367085,0,Economy,29,12,8,2
GoAir,Delhi,Kolkata,Delhi-Bangalore,6249.046938754308,142.32557130945105,0,Economy,2,5,22,18
SpiceJet,Delhi,Bangalore,Mumbai-Kolkata,7359.965899661104,132.64638250609684,1,Economy,10,10,15,13
Vistara,Delhi,Hyderabad,Mumbai-Chennai,6857.234521787908,128.00455188886207,0,Economy,1,4,5,15
Vistara,Delhi,Kolkata,Delhi-Mumbai,6152.50847301202,109.82633162189883,0,Economy,4,2,21,21
SpiceJet,Delhi,Hyderabad,Mumbai-Chennai,6753.048464613987,131.10183345806865,0,Economy,25,4,10,16
GoAir,Mumbai,Chennai,Mumbai-Chennai,5173.980877177968,116.2880195970073,2,Business,12,12,22,3
SpiceJet,Mumbai,Bangalore,Delhi-Mumbai,6318.341639957447,133.73416829777355,0,Economy,9,8,16,12
Vistara,Delhi,Kolkata,Mumbai-Chennai,7447.445079786488,105.09203924646066,1,Economy,4,5,3,7
AirAsia,Delhi,Chennai,Delhi-Bangalore,5825.5632836861005,114.52293076861376,0,Business,9,5,14,18
IndiGo,Delhi,Chennai,Delhi-Mumbai,5321.892857104732,90.30126622343958,1,Business,31,12,0,4
Vistara,Delhi,Hyderabad,Mumbai-Chennai,5478.3288891255515,118.94977169981293,0,Economy,28,12,21,1
SpiceJet,Delhi,Chennai,Delhi-Hyderabad,5128.293570126089,95.66997409113466,1,Economy,6,10,19,14
IndiGo,Delhi,Bangalore,Mumbai-Chennai,5372.190473497837,86.5786064951402,0,Economy,1,3,0,1
SpiceJet,Mumbai,Bangalore,Delhi-Bangalore,5703.593521127977,127.75983443566165,1,Economy,10,8,8,10
SpiceJet,Delhi,Mumbai,Mumbai-Kolkata,4875.5463846570865,126.3821932757298,1,Business,29,6,11,12
AirAsia,Delhi,Bangalore,Mumbai-Chennai,6012.494667159683,143.48621204845716,0,Business,14,2,3,22
IndiGo,Delhi,Chennai,Mumbai-Kolkata,6721.8217390293175,107.06623291274703,0,Economy,22,2,21,9
IndiGo,Mumbai,Bangalore,Delhi-Hyderabad,5273.795055882464,132.24158540510268,0,Economy,25,9,12,2
AirAsia,Delhi,Hyderabad,Mumbai-Chennai,7215.427138913415,136.5239271682099,0,Economy,29,7,6,4
Vistara,Delhi,Mumbai,Delhi-Mumbai,6408.633670822076,133.34321423494785,1,Business,18,10,7,2
SpiceJet,Delhi,Chennai,Mumbai-Kolkata,6824.464468499245,95.23038951593574,0,Economy,6,9,12,5
GoAir,Delhi,Mumbai,Delhi-Hyderabad,5473.73235691829,124.48090446813566,0,Economy,18,6,10,12
SpiceJet,Delhi,Chennai,Delhi-Mumbai,6683.620181653293,130.92420888163983,1,Economy,20,5,8,9
SpiceJet,Delhi,Hyderabad,Delhi-Mumbai,5126.452879683749,120.21535400723826,0,Economy,16,12,23,18
Vistara,Mumbai,Mumbai,Delhi-Mumbai,6712.1980006692065,60.0,0,Economy,15,1,15,7
SpiceJet,Delhi,Kolkata,Delhi-Mumbai,6137.471471834825,124.8146887192044,0,Economy,16,12,9,17
AirAsia,Delhi,Chennai,Mumbai-Chennai,6442.600975987827,186.37593118191728,2,Business,8,6,10,2
AirAsia,Delhi,Kolkata,Mumbai-Chennai,5059.524315500119,109.19882193729052,1,Business,13,6,11,23
IndiGo,Mumbai,Mumbai,Mumbai-Chennai,5283.944126178716,98.15768706434037,1,Economy,23,3,13,23
GoAir,Delhi,Kolkata,Delhi-Hyderabad,6477.782574602707,131.20045679134194,0,Economy,11,3,18,16
SpiceJet,Mumbai,Kolkata,Delhi-Hyderabad,5241.321596620639,129.37134631399715,1,Economy,28,3,11,7
SpiceJet,Delhi,Mumbai,Delhi-Hyderabad,6370.565033679299,155.78205496249245,0,Economy,29,3,17,9
Vistara,Mumbai,Hyderabad,Delhi-Bangalore,4906.289754831803,82.26395532273337,0,Economy,25,7,20,1
AirAsia,Delhi,Kolkata,Delhi-Hyderabad,6678.539370133334,141.94140757724978,0,Business,7,10,16,11
GoAir,Delhi,Kolkata,Mumbai-Chennai,5013.9813481851925,137.7126618375439,0,Economy,17,11,2,22
IndiGo,Delhi,Hyderabad,Mumbai-Chennai,6441.839950143619,115.73560389178363,0,Economy,18,2,0,5
AirAsia,Delhi,Kolkata,Delhi-Bangalore,6500.504746916801,130.1606195376507,0,Business,22,10,18,1
IndiGo,Delhi,Kolkata,Delhi-Bangalore,5442.58254525634,150.88372444795073,0,Business,23,10,3,20
Vistara,Delhi,Kolkata,Delhi-Hyderabad,6465.621253667781,146.16946140085352,0,Economy,19,2,22,22
Vistara,Delhi,Bangalore,Mumbai-Kolkata,6208.353810666845,85.70942063778814,1,Economy,25,3,15,23
SpiceJet,Delhi,Hyderabad,Delhi-Bangalore,5568.9265150458095,144.60474560266454,0,Economy,13,10,11,2
GoAir,Mumbai,Kolkata,Delhi-Mumbai,5193.156252739033,118.05934184902446,1,Economy,15,12,20,16
IndiGo,Delhi,Hyderabad,Mumbai-Chennai,4429.899446661937,122.18622294046544,0,Economy,23,7,20,6
AirAsia,Delhi,Chennai,Delhi-Mumbai,6279.720037839755,122.19590973005083,1,Economy,30,3,12,20
Vistara,Mumbai,Chennai,Mumbai-Chennai,4748.157782910356,115.49271033605221,0,Business,22,7,16,4
SpiceJet,Mumbai,Kolkata,Mumbai-Chennai,6076.275359553047,155.75122491321196,0,Economy,29,9,7,22
SpiceJet,Delhi,Hyderabad,Delhi-Bangalore,5789.2414271342,117.48846120452365,0,Economy,22,11,12,0
IndiGo,Mumbai,Hyderabad,Delhi-Bangalore,6543.314220350557,86.41361614850494,1,Economy,1,10,19,7
Vistara,Delhi,Hyderabad,Delhi-Mumbai,5758.363600408109,108.19410432090814,1,Economy,29,12,4,11
GoAir,Mumbai,Bangalore,Mumbai-Chennai,5736.441770922327,125.36084150431427,0,Business,16,11,17,13
Vistara,Mumbai,Chennai,Delhi-Mumbai,6585.496563430636,156.87644352891152,0,Economy,5,4,14,15
IndiGo,Delhi,Hyderabad,Mumbai-Kolkata,6268.046423267294,138.092840548465,1,Economy,26,7,11,9
IndiGo,Delhi,Hyderabad,Delhi-Mumbai,6252.924765746223,94.48394163758869,1,Economy,3,9,16,14
Vistara,Delhi,Bangalore,Delhi-Hyderabad,6375.414071846821,194.55569750036673,0,Economy,23,8,14,20
IndiGo,Mumbai,Bangalore,Delhi-Mumbai,4771.542301434315,127.94325932933938,0,Economy,10,8,1,23
Vistara,Mumbai,Hyderabad,Delhi-Hyderabad,6605.430943989586,158.26172213997043,0,Economy,19,9,5,14
AirAsia,Mumbai,Mumbai,Delhi-Hyderabad,6489.975035210882,115.44856699268313,1,Economy,5,5,16,9
Vistara,Delhi,Hyderabad,Delhi-Hyderabad,5186.653497138802,136.00077734116348,0,Economy,7,5,15,20
Vistara,Mumbai,Hyderabad,Mumbai-Kolkata,5804.735621060639,145.18405513555214,2,Economy,14,3,16,6
IndiGo,Mumbai,Bangalore,Delhi-Mumbai,5968.554169897895,156.5458413526277,0,Business,3,5,19,2
IndiGo,Delhi,Bangalore,Delhi-Mumbai,5892.402572478614,151.72104916134674,0,Business,13,8,8,1
SpiceJet,Delhi,Hyderabad,Mumbai-Kolkata,6267.087973254827,146.16591000218935,0,Economy,13,12,4,5
SpiceJet,Delhi,Hyderabad,Mumbai-Chennai,7145.093425464946,110.54739806417675,2,Economy,10,5,22,20
AirAsia,Delhi,Hyderabad,Delhi-Bangalore,6865.413382138263,102.84761874131816,1,Economy,2,4,0,8
SpiceJet,Mumbai,Bangalore,Delhi-Mumbai,4950.224645254875,129.97822530972593,0,Economy,6,8,5,9
Vistara,Mumbai,Hyderabad,Delhi-Bangalore,6497.655992244839,147.99384217023209,1,Economy,8,7,23,3
IndiGo,Mumbai,Hyderabad,Mumbai-Kolkata,7063.146655628328,113.3183789767018,0,Business,4,6,13,2
SpiceJet,Mumbai,Kolkata,Mumbai-Chennai,6309.446816551362,151.9551589714316,0,Business,25,5,16,8
SpiceJet,Mumbai,Mumbai,Mumbai-Chennai,6872.7843401487735,163.57850236458538,0,Economy,12,5,18,23
AirAsia,Mumbai,Chennai,Mumbai-Chennai,7609.816356560612,92.5103724277974,0,Economy,28,10,0,21
AirAsia,Delhi,Mumbai,Mumbai-Kolkata,6818.967636885585,94.8923788861116,0,Business,15,2,0,16
Vistara,Mumbai,Kolkata,Delhi-Hyderabad,6199.446876513383,115.78874823283991,2,Economy,8,4,12,13
IndiGo,Delhi,Chennai,Delhi-Hyderabad,6836.070779267803,129.2283800456759,0,Economy,7,8,13,9
AirAsia,Mumbai,Hyderabad,Delhi-Bangalore,6115.910266477513,104.26298958698847,2,Economy,14,8,5,12
SpiceJet,Delhi,Kolkata,Delhi-Hyderabad,6019.122434627964,160.56608036601432,0,Economy,23,11,5,11
IndiGo,Delhi,Hyderabad,Delhi-Hyderabad,5718.868611429014,132.72200584555353,1,Economy,19,1,0,0
IndiGo,Delhi,Bangalore,Mumbai-Chennai,7250.730687065687,121.18341144722218,0,Economy,14,2,13,21
SpiceJet,Delhi,Kolkata,Mumbai-Chennai,5345.257067246399,76.92271428394417,0,Economy,22,5,2,18
AirAsia,Delhi,Bangalore,Delhi-Bangalore,7225.894179742493,80.52552550717479,0,Economy,13,9,22,18
SpiceJet,Delhi,Kolkata,Delhi-Mumbai,6399.891298992297,128.4302775084542,0,Economy,29,10,9,5
